organization_name,naics_code
Caressant Care Nursing And Retirement Homes Limited (Fergus Nursing Home),311814.0
"CIMS Limited Partnership, AlumaSafway Services ULC, Triple Crown Enterprises Ltd.",238390.0
Ivory Gate Construction Ltd,236110.0
Revera Long Term Care Inc. Operating as Carlingview Manor,623110.0
Colonial Cookies Limited,311821.0
Dufferin Concrete (Beamsville) a Division of CRH (Canada) Inc.,327320.0
Dmc Forestry Ltd,561730.0
Strudex LP,325220.0
Victorian Order of Nurses,621610.0
Bracebridge Generation Ltd,221119.0
Canadian Environmental Network,813310.0
7095 Woodbine Markham Hospitality Inc. (Courtyard and Townplace Suites by Marriott),721111.0
Corporation of The Municipality of Chatham-Kent,621494.0
North Rock Group Ltd,237110.0
Coldstream Concrete Ltd,327390.0
Sunnybrook Health Sciences Centre,622111.0
North Bay Police Services Board,913130.0
Strongco Inc,333920.0
Union of Veterans' Affairs Employees,813930.0
Corporation of Haldimand County (Grandview Lodge),623110.0
Northstar Aerospace - Milton,336410.0
Nei Inc,238299.0
Corporation of The City of Stratford,913910.0
Manga Hotels (Dixon) Inc. d.b.a DoubleTree by Hilton Toronto Airport,721111.0
Independent Unionized Landscaping Contractors’ Association on behalf of Terragon Landscaping Ltd,238990.0
Stratford Shakespearean Festival of Canada,711111.0
Community Living Iroquois Falls,623210.0
1122121 Ontario Ltd. operating as Shorthills Villa Retirement Community,623310.0
University of Toronto Press,511130.0
Boart Longyear Inc,333519.0
Victorian Order of Nurses Canada - Ontario,621610.0
Corporation of The Township of Ear Falls,913910.0
Adm Milling Co.,311211.0
Kingston Lath & Plaster (1998) Ltd,238140.0
St Joseph Religious Hospitallers,622111.0
Norjohn Contracting & Paving Limited,237310.0
Empire Roofing Corporation,238160.0
Unifor Local 200,813930.0
Conseil Scolaire De District Catholique Des Aurores Boreales,611110.0
The Globe And Mail Division Of Ctvglobemedia Publishing Inc.,
Windsor Regional Hospital,622111.0
Amico Infrastructures Inc,237110.0
Ka Concrete Cement Finishing,236220.0
Limen Group Ltd.,237110.0
Les Industries Blais Inc,237990.0
Roadbuilders Haulage Ltd,484110.0
Giovanni Caboto Club,813410.0
York University,611310.0
Jarvis-George Housing Co-Operative Inc,531112.0
Corporation of The County of Grey,623310.0
Lecours Lumber Co. Ltd.,113311.0
Rogers Broadcasting Ltd,512110.0
Limestone District School Board,611110.0
Demeo Landscaping Inc,237990.0
Corporation of The City of Brantford,485990.0
Team Industrial,541380.0
Hallmark Housekeeping Services Inc.,561722.0
Thames Valley District School Board,611110.0
JNF Concrete Ltd.,237310.0
Canadian Asphalt Industries Inc.,324122.0
Vineland Quarry a Division of Walker Aggregates Inc.,212314.0
First Canada Ulc,
Top Notch Building Maintenance,
401 Westbound Esso,447190.0
Premier Interlocking Ltd.,238990.0
Bta Concrete Ltd,238190.0
J V D Charlebois Prostar Ltd,238220.0
Magic Maintenance Inc.,561722.0
Grey Bruce Health Unit,621494.0
P A T H  Employment Services,561310.0
Corporation of The City of St Catharines,913140.0
C L Masonry Ltd,238140.0
Volturno Excavating Ltd,236110.0
Uba Inc,418410.0
Magine Contractors (1994) Inc,237310.0
Rayonier A.M. Canada Enterprises Inc. Forest Management,113311.0
Gatbridge Contracting Ltd,237990.0
Hilton Garden Inn Toronto/Markham,721111.0
Corporation of The Town of Bradford West Gwillimbury,913910.0
Waste Management of Canada Corp,562210.0
Columbia-MBF a division of Atkore International Inc.,416110.0
Corporation of Massey Hall And Roy Thomson Hall,711112.0
Jonico Excavating & Grading Inc,237990.0
Tw Johnstone Co Ltd,237990.0
1430986 O/A Roper Controls Inc,238220.0
Algonquin And Lakeshore Catholic District School Board,611110.0
Dufferin Concrete (Hamilton) a Division of CRH (Canada) Inc.,327320.0
Perth And Smiths Falls District Hospital,622111.0
Dale Brain Injury Services Inc.,623993.0
Wells Gordon Limited c.o.b.as The Briton House Retirement Centre,623310.0
Landtar Construction,238990.0
Sault Ste Marie And District Group Health Association,621494.0
Richards-Wilcox Custom Systems Inc,238299.0
Corporation of the City of Cambridge,913140.0
London Paving Bros Inc,236220.0
Del-Ko Paving & Construction Co. Ltd.,237310.0
Lear Corp,336360.0
Ontario Industrial Roofing Contractors' Association,238160.0
Jacobs Industrial Services Ltd,238990.0
Police Services Board of the Corporation of the Town of Gananoque,913130.0
Davies Elevator Corp,238291.0
Strategic Communications Inc,541611.0
F. J. Davey Home,623110.0
Premiere Cable,238990.0
Utility Installation Ltd,237130.0
Meadow Park Incorporated (Meadow Park Retirement Home),623110.0
Corus Entertainment Inc (Chex-Tv Ckru-Am Ckwf-Fm),515110.0
Robin's Foods 2006 Ltd.,722310.0
Trudel & Sons Roofing Ltd.,238160.0
Ottawa Community Housing Corporation,531112.0
Multi Task Construction Inc.,236110.0
Toronto East General Hospital,622111.0
Flowserve Canada Corp,333910.0
Glengarry News Limited,511110.0
Navistar Canada Inc.,415290.0
Board of Governors of Exhibition Place,713110.0
Camtac Contracting Ltd,237990.0
McKelvey Contracting Limited,238990.0
2090108 Ontario Ltd,236220.0
Northern Material Processing Inc.,493190.0
Parmalat Canada Inc.,311511.0
Northern Ontario School of Medicine,611310.0
Central Ontario Hydroseeding,238990.0
Madawaska Valley Association for Community Living,623210.0
St. Joseph's Continuing Care Centre,622310.0
Erie Shores Healthcare,622111.0
Chouinard Bros Aluminum Ltd.,238160.0
Parmalat Canada Inc.,311511.0
Canadian Food Inspection Agency,911240.0
M Genua Excavating & Trenching,238910.0
Good Shepherd Refuge Social Ministries,624230.0
Corporation of The Township of Machar,913910.0
Regional Municipality of Waterloo,913910.0
Source (Bell) Electronics Inc.,417320.0
Cusentino Ltd,238910.0
Conseil Scolaire De District Catholique De L'Est Ontarien,611110.0
Regina Gardens,623110.0
Handi Transit,485990.0
Inkas Security Services Ltd,561612.0
Southbridge Health Care LP operating as The Palace Alexandria,623110.0
Board of Health Northwestern Health Unit,621494.0
Alexandra Hospital,622111.0
Dollar Thrifty Automotive Group Canada Inc,532111.0
Algoma Manor Nursing Home Thessalon,623110.0
Royal Oak Long Term Care Centre,623110.0
Gordon Schoenfeldt,238220.0
Tube City Ims Canada Inc,237990.0
Ryder Truck Rental Canada Ltd,484110.0
Brooks Creative House Inc.,541810.0
P.R.W. Excavating Contractors Ltd,237990.0
OPGI Management Limited Partnership,531310.0
Utility Contractors' Association of Ontario,237130.0
Yanfeng Canada Automotive Interior Systems ULC (YFAI),336360.0
Federal Marine Terminals,493110.0
North American Steel Equipment Inc.,337127.0
Pipe Line Contractors Association of Canada,237120.0
Ross Memorial Hospital,622111.0
Cope Construction and Contracting Inc.,238990.0
Unicco Facility Services Canada Co,561722.0
Domtar Inc.,322121.0
Woodstock Hydro Services Inc,221122.0
Selkirk Canada Corporation,332329.0
Syncor Construction Inc,238340.0
Awl Excavating Inc,237990.0
Mckelvey Contracting Ltd,238990.0
Maple Terrazzo Marble & Tile Inc,238340.0
Aramark Canada Ltd.,722310.0
Quality Home Trim,238.0
Sonoco Canada Corp,322219.0
Kennedy Electric,236110.0
David Martin Enterprises (London) Ltd,561722.0
"Driver's Industrial Installation Ltd., FT Asset Management Services Integrated Ltd.",238390.0
Alden Equipment Inc,237310.0
Lakehead Marine And Industrial Inc,336611.0
Bluewater District School Board,611110.0
Hobart Food Equipment Group Canada a Division of ITW Canada Inc,333310.0
Enwin Utilities Ltd,221122.0
Port Hope Police Services Board,913130.0
"Elizabeth Centre, a division of Valley East Long Term Care Centre Inc.",623110.0
Graduate Student Society,813410.0
Chartwell Pinewood,623310.0
Spallacci Group Limited,236110.0
Canadian Niagara Power Inc,221122.0
Vaughan Public Library Board,519121.0
Jobstart,561310.0
1752336 Ontario Ltd (Total Source Contracting),237990.0
1000060 Ontario Ltd Cob Cobi Concrete Sawing,238990.0
Groves Park Lodge,623110.0
Pace Independent Living,623222.0
Osprey Media Group Inc (Kingston Whig-Standard),511110.0
Ontario Addiction Treatment Centres,621420.0
1017828 Ontario Inc,237310.0
St. Michaels Inc (7849532 Canada Inc),238910.0
Advanced Structural Waterproofing,238140.0
Cox Construction Ltd,237310.0
Rite Pak Produce Co. Limited,413150.0
Concrete Walls Ltd,238340.0
Crown Metal Packaging Canada Lp,332431.0
Chateau Park Nursing Home,623110.0
Surex Community Services,623210.0
Carleton University,611310.0
