,organization_name,naics_code,Predicted Cluster
0,Caressant Care Nursing And Retirement Homes Limited (Fergus Nursing Home),311814.0,[1167]
1,"CIMS Limited Partnership, AlumaSafway Services ULC, Triple Crown Enterprises Ltd.",238390.0,[350]
2,Ivory Gate Construction Ltd,236110.0,[44]
3,Revera Long Term Care Inc. Operating as Carlingview Manor,623110.0,[57]
4,Colonial Cookies Limited,311821.0,[6]
5,Dufferin Concrete (Beamsville) a Division of CRH (Canada) Inc.,327320.0,[52]
6,Dmc Forestry Ltd,561730.0,[128]
7,Strudex LP,325220.0,[104]
8,Victorian Order of Nurses,621610.0,[13]
9,Bracebridge Generation Ltd,221119.0,[128]
10,Canadian Environmental Network,813310.0,[108]
11,7095 Woodbine Markham Hospitality Inc. (Courtyard and Townplace Suites by Marriott),721111.0,[164]
12,Corporation of The Municipality of Chatham-Kent,621494.0,[59]
13,North Rock Group Ltd,237110.0,[2212]
14,Coldstream Concrete Ltd,327390.0,[522]
15,Sunnybrook Health Sciences Centre,622111.0,[318]
16,North Bay Police Services Board,913130.0,[1409]
17,Strongco Inc,333920.0,[1911]
18,Union of Veterans' Affairs Employees,813930.0,[529]
19,Corporation of Haldimand County (Grandview Lodge),623110.0,[374]
20,Northstar Aerospace - Milton,336410.0,[213]
21,Nei Inc,238299.0,[1911]
22,Corporation of The City of Stratford,913910.0,[2]
23,Manga Hotels (Dixon) Inc. d.b.a DoubleTree by Hilton Toronto Airport,721111.0,[246]
24,Independent Unionized Landscaping Contractors’ Association on behalf of Terragon Landscaping Ltd,238990.0,[351]
25,Stratford Shakespearean Festival of Canada,711111.0,[2143]
26,Community Living Iroquois Falls,623210.0,[2756]
27,1122121 Ontario Ltd. operating as Shorthills Villa Retirement Community,623310.0,[2032]
28,University of Toronto Press,511130.0,[437]
29,Boart Longyear Inc,333519.0,[87]
30,Victorian Order of Nurses Canada - Ontario,621610.0,[13]
31,Corporation of The Township of Ear Falls,913910.0,[349]
32,Adm Milling Co.,311211.0,[1212]
33,Kingston Lath & Plaster (1998) Ltd,238140.0,[1612]
34,St Joseph Religious Hospitallers,622111.0,[755]
35,Norjohn Contracting & Paving Limited,237310.0,[2334]
36,Empire Roofing Corporation,238160.0,[1992]
37,Unifor Local 200,813930.0,[1145]
38,Conseil Scolaire De District Catholique Des Aurores Boreales,611110.0,[3146]
39,The Globe And Mail Division Of Ctvglobemedia Publishing Inc.,,[2541]
40,Windsor Regional Hospital,622111.0,[239]
41,Amico Infrastructures Inc,237110.0,[285]
42,Ka Concrete Cement Finishing,236220.0,[782]
43,Limen Group Ltd.,237110.0,[470]
44,Les Industries Blais Inc,237990.0,[2199]
45,Roadbuilders Haulage Ltd,484110.0,[128]
46,Giovanni Caboto Club,813410.0,[1200]
47,York University,611310.0,[9]
48,Jarvis-George Housing Co-Operative Inc,531112.0,[2662]
49,Corporation of The County of Grey,623310.0,[136]
50,Lecours Lumber Co. Ltd.,113311.0,[3173]
51,Rogers Broadcasting Ltd,512110.0,[775]
52,Limestone District School Board,611110.0,[1000]
53,Demeo Landscaping Inc,237990.0,[2623]
54,Corporation of The City of Brantford,485990.0,[2]
