,organization_name,Unnamed: 1,Predicted Cluster
0,Metropolitan Home Products Inc.,1,[7]
1,Hugh Munro Construction Ltd.,2,[9]
2,Hudson Manor Retirement Home,3,[2]
3,Humber River Regional Hospital,4,[6]
4,Human Rights Legal Support Centre,5,[10]
5,Veolia Es Canada Industrial Services Inc,6,[4]
6,Family & Children's Services of the Waterloo Region,7,[0]
7,"Family and Children's Services of Lanark, Leeds and Grenville",7,[0]
8,Family and Children's Services of Renfrew County,7,[0]
9,"Family, Youth And Child Services Of Muskoka",14,[8]
10,Family And Children's Services of St Thomas And Elgin,7,[0]
11,"Family and Children's Services of Frontenac, Lennox and Addington",7,[0]
12,Fandor Homes Inc & Fandor Homes (Vintage) Inc,8,[13]
13,Faculty Club of the University of Toronto,9,[11]
14,Gerdau Long Steel North America Whitby Metallics Raw Materials,10,[3]
15,Gerdau Long Steel North America - Oshawa Metallics Raw Materials,10,[3]
16,Vanick Construction Management Inc.,11,[1]
17,"Valard Construction LP, Telecom Division",12,[12]
18,Valsist Masonry Construction Inc.,13,[14]
19,Caressant Care Nursing & Retirement Homes Limited (The Maples Home for Seniors),15,[5]
20,Caressant Care Nursing & Retirement Homes Limited Marmora Retirement Home,15,[5]
