,Clusters,organization_name,naics_code
0,[107],Caressant Care Nursing And Retirement Homes Limited (Fergus Nursing Home),311814.0
1,[1954],"CIMS Limited Partnership, AlumaSafway Services ULC, Triple Crown Enterprises Ltd.",238390.0
2,[1452],Ivory Gate Construction Ltd,236110.0
3,[1079],Revera Long Term Care Inc. Operating as Carlingview Manor,623110.0
4,[874],Colonial Cookies Limited,311821.0
5,[577],Dufferin Concrete (Beamsville) a Division of CRH (Canada) Inc.,327320.0
6,[845],Dmc Forestry Ltd,561730.0
7,[1819],Strudex LP,325220.0
8,[34],Victorian Order of Nurses,621610.0
9,[2787],Bracebridge Generation Ltd,221119.0
10,[2318],Canadian Environmental Network,813310.0
11,[115],7095 Woodbine Markham Hospitality Inc. (Courtyard and Townplace Suites by Marriott),721111.0
12,[769],Corporation of The Municipality of Chatham-Kent,621494.0
13,[19],North Rock Group Ltd,237110.0
14,[874],Coldstream Concrete Ltd,327390.0
15,[120],Sunnybrook Health Sciences Centre,622111.0
16,[1120],North Bay Police Services Board,913130.0
17,[961],Strongco Inc,333920.0
18,[1244],Union of Veterans' Affairs Employees,813930.0
19,[769],Corporation of Haldimand County (Grandview Lodge),623110.0
20,[1120],Northstar Aerospace - Milton,336410.0
21,[864],Nei Inc,238299.0
22,[1885],Corporation of The City of Stratford,913910.0
23,[548],Manga Hotels (Dixon) Inc. d.b.a DoubleTree by Hilton Toronto Airport,721111.0
24,[213],Independent Unionized Landscaping Contractors’ Association on behalf of Terragon Landscaping Ltd,238990.0
25,[1993],Stratford Shakespearean Festival of Canada,711111.0
26,[1182],Community Living Iroquois Falls,623210.0
27,[1096],1122121 Ontario Ltd. operating as Shorthills Villa Retirement Community,623310.0
28,[1127],University of Toronto Press,511130.0
29,[296],Boart Longyear Inc,333519.0
30,[1823],Victorian Order of Nurses Canada - Ontario,621610.0
31,[6],Corporation of The Township of Ear Falls,913910.0
32,[992],Adm Milling Co.,311211.0
33,[759],Kingston Lath & Plaster (1998) Ltd,238140.0
34,[3152],St Joseph Religious Hospitallers,622111.0
35,[135],Norjohn Contracting & Paving Limited,237310.0
36,[2263],Empire Roofing Corporation,238160.0
37,[2673],Unifor Local 200,813930.0
38,[903],Conseil Scolaire De District Catholique Des Aurores Boreales,611110.0
39,[1485],The Globe And Mail Division Of Ctvglobemedia Publishing Inc.,
40,[813],Windsor Regional Hospital,622111.0
41,[1660],Amico Infrastructures Inc,237110.0
42,[2996],Ka Concrete Cement Finishing,236220.0
43,[3002],Limen Group Ltd.,237110.0
44,[1372],Les Industries Blais Inc,237990.0
45,[1589],Roadbuilders Haulage Ltd,484110.0
46,[277],Giovanni Caboto Club,813410.0
47,[91],York University,611310.0
48,[2106],Jarvis-George Housing Co-Operative Inc,531112.0
49,[425],Corporation of The County of Grey,623310.0
50,[3067],Lecours Lumber Co. Ltd.,113311.0
51,[2057],Rogers Broadcasting Ltd,512110.0
52,[1192],Limestone District School Board,611110.0
53,[1422],Demeo Landscaping Inc,237990.0
54,[1885],Corporation of The City of Brantford,485990.0
55,[367],Team Industrial,541380.0
56,[1989],Hallmark Housekeeping Services Inc.,561722.0
57,[1569],Thames Valley District School Board,611110.0
58,[1147],JNF Concrete Ltd.,237310.0
59,[356],Canadian Asphalt Industries Inc.,324122.0
60,[272],Vineland Quarry a Division of Walker Aggregates Inc.,212314.0
61,[123],First Canada Ulc,
62,[1068],Top Notch Building Maintenance,
63,[757],401 Westbound Esso,447190.0
64,[2320],Premier Interlocking Ltd.,238990.0
65,[2444],Bta Concrete Ltd,238190.0
66,[2017],J V D Charlebois Prostar Ltd,238220.0
67,[430],Magic Maintenance Inc.,561722.0
68,[2724],Grey Bruce Health Unit,621494.0
69,[2131],P A T H  Employment Services,561310.0
70,[6],Corporation of The City of St Catharines,913140.0
71,[2080],C L Masonry Ltd,238140.0
72,[1214],Volturno Excavating Ltd,236110.0
73,[435],Uba Inc,418410.0
74,[2928],Magine Contractors (1994) Inc,237310.0
75,[1221],Rayonier A.M. Canada Enterprises Inc. Forest Management,113311.0
76,[2590],Gatbridge Contracting Ltd,237990.0
77,[986],Hilton Garden Inn Toronto/Markham,721111.0
78,[769],Corporation of The Town of Bradford West Gwillimbury,913910.0
79,[195],Waste Management of Canada Corp,562210.0
80,[244],Columbia-MBF a division of Atkore International Inc.,416110.0
81,[769],Corporation of Massey Hall And Roy Thomson Hall,711112.0
82,[2340],Jonico Excavating & Grading Inc,237990.0
83,[537],Tw Johnstone Co Ltd,237990.0
84,[1461],1430986 O/A Roper Controls Inc,238220.0
85,[1762],Algonquin And Lakeshore Catholic District School Board,611110.0
86,[577],Dufferin Concrete (Hamilton) a Division of CRH (Canada) Inc.,327320.0
87,[2382],Perth And Smiths Falls District Hospital,622111.0
88,[2402],Dale Brain Injury Services Inc.,623993.0
89,[2799],Wells Gordon Limited c.o.b.as The Briton House Retirement Centre,623310.0
90,[1189],Landtar Construction,238990.0
91,[951],Sault Ste Marie And District Group Health Association,621494.0
92,[314],Richards-Wilcox Custom Systems Inc,238299.0
93,[1885],Corporation of the City of Cambridge,913140.0
94,[608],London Paving Bros Inc,236220.0
95,[639],Del-Ko Paving & Construction Co. Ltd.,237310.0
96,[1105],Lear Corp,336360.0
97,[1257],Ontario Industrial Roofing Contractors' Association,238160.0
98,[539],Jacobs Industrial Services Ltd,238990.0
99,[1705],Police Services Board of the Corporation of the Town of Gananoque,913130.0
100,[2842],Davies Elevator Corp,238291.0
101,[1163],Strategic Communications Inc,541611.0
102,[835],F. J. Davey Home,623110.0
103,[1410],Premiere Cable,238990.0
104,[619],Utility Installation Ltd,237130.0
105,[1323],Meadow Park Incorporated (Meadow Park Retirement Home),623110.0
106,[769],Corus Entertainment Inc (Chex-Tv Ckru-Am Ckwf-Fm),515110.0
107,[1018],Robin's Foods 2006 Ltd.,722310.0
108,[1395],Trudel & Sons Roofing Ltd.,238160.0
109,[2527],Ottawa Community Housing Corporation,531112.0
110,[2796],Multi Task Construction Inc.,236110.0
111,[1844],Toronto East General Hospital,622111.0
112,[2554],Flowserve Canada Corp,333910.0
113,[2870],Glengarry News Limited,511110.0
114,[1330],Navistar Canada Inc.,415290.0
115,[1499],Board of Governors of Exhibition Place,713110.0
116,[1508],Camtac Contracting Ltd,237990.0
117,[2105],McKelvey Contracting Limited,238990.0
